A,U,W,S,Y,I
0,0.9857277653173026,-0.3620086637348371,1,0,1
0,-0.29475485476139013,-2.7809978794993877,1,0,1
1,0.8297740514708671,3.551702076857283,0,-9999,1
0,-1.113401399721597,-1.5787272980459472,1,0,1
0,-0.4147833044387792,-2.9556905275308543,1,1,1
0,-0.835784133336398,-1.061055495753304,1,1,1
0,1.0337318127751236,-0.9009444531219473,1,1,1
0,-1.4816986761399542,-1.5633323693755878,1,0,1
1,-0.31716568908801357,-0.8349317086269643,1,0,1
0,0.014141382268074197,-1.0300835375656145,1,1,1
1,-0.5323840256405817,0.6499554596299582,0,-9999,1
1,2.352840271514985,3.516695620451127,0,-9999,1
0,0.8185547957706863,0.8712155232892477,1,1,1
0,-0.5440017660579856,-2.28599030348848,1,1,1
1,-0.37948657895515,0.2891412597451617,1,1,1
1,0.8336031372922029,2.132213304110265,0,-9999,1
0,-0.1663960105860184,-2.262474438971886,1,1,1
1,-0.1616288641810395,-1.6456420688210693,1,0,1
1,0.7553759513712062,1.9739251482959126,1,1,1
0,0.23961745876075033,-1.0690838142593309,1,0,1
1,0.24853432131309786,0.9933934407008618,1,0,1
1,0.01140236765501123,1.223404612291826,0,-9999,1
0,-1.0640552958492786,-2.8535774240996035,1,1,1
1,0.2129030894098777,-0.4686641182420894,1,0,1
0,-0.3030622049710388,-2.7753274711018596,1,0,1
0,1.6651509252970593,0.9083021078057314,1,0,1
0,-0.29947488491953816,-0.1463271288306927,1,1,1
1,-0.13470737101056515,0.150105123482422,1,0,1
1,-0.7443968300305077,1.3244527369753534,0,-9999,1
0,1.0934093542195886,-1.926273182988735,1,0,1
0,-1.531052365598119,-4.039700095523324,1,0,1
0,0.7880269425809803,0.8423590508003778,0,-9999,1
0,-0.6647159103829179,-2.219233208240956,1,1,1
0,-0.07188503959652963,-0.12749629093011844,1,1,1
0,0.638971073798758,0.4313589329903066,1,0,1
0,-0.21993551252771038,-0.03424349363855861,1,1,1
1,-0.6236561918124627,0.5236265523995128,1,0,1
1,0.8596606985661821,2.2112544765070687,0,-9999,1
0,0.7018829814241309,-0.23440932932407343,1,1,1
1,0.29946927716050714,-0.660801413139255,1,1,1
0,0.8758958462343618,-0.5493174289779332,0,-9999,1
0,-0.6585602836267493,-0.30855212973594404,1,1,1
0,-0.3225501834046169,-1.4941558506111292,0,-9999,1
1,0.3417603639538715,2.757318792188829,1,0,1
0,0.47620381721480165,1.8268322177816914,0,-9999,1
1,-1.4072320565651364,-1.2315059363366816,1,0,1
1,-0.37711975107819395,0.21000802626538984,0,-9999,1
0,-0.8532512209688728,-2.671775745530531,1,1,1
1,0.48403682347115407,0.5553854234407765,1,1,1
1,-0.2724076554597198,2.7870186914518267,0,-9999,1
1,0.39411862416486176,2.7385423837791505,0,-9999,1
1,-0.14645466938624485,0.9524016420905932,1,0,1
0,-0.7752357822697573,-0.6896893964250723,1,0,1
1,-0.4020571942916825,0.9052883119476427,1,0,1
1,-1.1676378312129345,-0.7638033501891717,1,0,1
0,0.8760346099173145,-0.12118011930935935,1,1,1
0,-1.4169966254254138,-3.9385616085806117,1,1,1
0,-1.4773226266490422,-1.4925543235610972,1,0,1
0,0.058496919819868806,-3.251168941149689,1,1,1
0,1.540743170534021,0.4429187583496057,1,1,1
1,-0.5599704736331236,-0.299544680048601,1,0,1
0,0.9133087494685875,-0.2665840501648121,1,0,1
0,-0.47898388580417317,-2.3175814283171507,1,0,1
0,0.6174001549384612,0.5849174881037131,1,1,1
0,-0.8205962846721605,-1.5958479078427894,1,0,1
1,-1.2568852103760755,-0.13949637537959403,1,0,1
0,0.7902082382187694,-0.16285653418782164,1,0,1
0,0.5065767132546506,1.1663636835832185,0,-9999,1
1,1.1287527589850779,2.189926077849591,0,-9999,1
1,-0.521542571683921,0.9263925858059527,1,0,1
1,1.8251415770699877,2.236079889213146,0,-9999,1
0,-0.6468831887911072,-1.7413163453458553,1,1,1
1,0.28321480671279153,3.0720148321176612,0,-9999,1
0,1.5445613599084704,0.09766820420374533,1,1,1
0,-0.29984446005316634,-0.7672254427584951,1,1,1
0,-0.8277502929635998,-1.0099974585365863,1,1,1
1,0.017113210164646148,-0.3328504361555633,1,1,1
0,0.9711512475176447,0.13424613764834759,1,1,1
0,0.24977885849789108,0.14308439428206202,1,1,1
0,0.41145097769220956,0.5260312354936547,1,1,1
1,0.28993362759111435,-0.30338073643209684,1,0,1
1,0.27335627424759407,1.3333858573315487,1,0,1
1,-0.8213221615798921,-0.10476377701825967,1,0,1
0,0.08397850035653602,-0.5264711937260839,1,1,1
0,-1.0983676972838248,-2.5630910126094424,1,1,1
0,-1.532583366423291,-2.9050264125972785,1,0,1
1,-0.551525463733739,0.5139524414775756,0,-9999,1
0,-1.39119280889567,-2.652501232641713,1,0,1
1,0.1546618913052698,1.0234953926534254,1,1,1
1,-1.059230072450967,0.6613220051008319,1,0,1
1,0.9355769647607352,1.6489834770061302,1,1,1
0,-0.07401345391640139,0.14809258084860272,1,1,1
1,-0.2370343920292454,1.1453863576218104,0,-9999,1
0,0.36954926318669046,-1.7042132763644133,1,0,1
1,2.6422814531467576,2.127762993758296,1,0,1
1,-0.5388406001917385,1.9311142427265815,0,-9999,1
0,0.18728658211702962,-2.6619138224798222,1,1,1
1,1.742056974107958,3.9313617453869245,0,-9999,1
0,0.262973262096031,-0.09805483461650522,1,0,1
0,1.0203569119800557,0.11148586457072962,1,0,1
0,0.9773441831791363,0.518649558078202,0,-9999,1
1,-0.6317801203677493,0.16007642333243322,1,0,1
0,1.1989645183790554,-1.487967679751804,1,1,1
1,-0.3209433947601435,0.46779224558059185,1,0,1
0,1.069686686351299,-0.20737106792244786,1,1,1
1,-0.984815349885098,0.3600017655089036,1,0,1
1,-0.7122737965177853,0.8174769507264703,0,-9999,1
0,0.7337831667703889,0.19948707834821522,0,-9999,1
1,-0.48071147991761454,0.18316540657807456,1,0,1
0,1.0880302235190524,0.4791540661870356,1,1,1
1,0.28753890314774494,2.0899541950311606,0,-9999,1
1,0.22548798103091997,-0.3421727577136666,1,1,1
0,1.452715423828155,-0.14320906253021115,1,1,1
0,0.5109367734286351,-0.9746575055236549,1,1,1
0,1.5865255865751964,0.3716192822176161,1,1,1
0,-2.0800494519866075,-2.637700261765442,1,0,1
0,0.001910789681648322,-0.46484950130628017,1,0,1
1,0.7638484048395665,1.4531450503639212,1,0,1
0,0.3827003038489357,-1.5026433922976827,0,-9999,1
0,-1.2227640506056088,-1.051762592936443,1,1,1
1,-0.17580623507786922,1.4634153015167106,0,-9999,1
0,0.01343754116705958,-1.605031636323319,1,1,1
0,0.7834694627637945,1.7661263494883888,1,1,1
0,-2.242156118442806,-1.1472927430553455,1,0,1
1,0.1628165199344873,0.38808819950682083,1,0,1
1,1.4533772053059557,2.7460756377442426,0,-9999,1
0,1.1090761784141627,1.3086475963548276,0,-9999,1
1,0.7875666525974513,2.1082706147342236,0,-9999,1
1,1.4056793923180708,2.2807979962490093,0,-9999,1
0,2.1062771879496793,1.0403189388167462,0,-9999,1
1,1.3119814183624343,2.8597864661797017,0,-9999,1
1,0.8378853805385644,3.0775040147127646,0,-9999,1
0,-2.214379767625583,-1.8004488565459766,1,0,1
1,-0.35431535705077694,-0.7027386926857042,1,0,1
0,-1.4526355899801673,-2.3632756072672865,1,0,1
1,-0.28700060588540166,2.4911075901375135,1,0,1
1,0.4437926649003971,2.694358250120825,1,0,1
0,0.06641195839392605,-1.7746475813657347,1,0,1
0,0.2549635940124873,-1.6366049915328207,1,0,1
1,0.5560707566195854,2.6820137425178863,0,-9999,1
1,-0.3828614339533951,-0.603035681465979,1,0,1
0,-0.1578939967960143,-1.5740706800158253,1,1,1
1,0.28013310061515606,-0.41698571961465936,1,1,1
0,0.018169327572018043,-1.8805965397453612,0,-9999,1
0,-1.1296841037358738,-2.2443841892488328,1,0,1
0,-0.09088408706660336,-2.658734062357663,1,0,1
0,3.197241669826283,3.030309825994126,0,-9999,1
1,0.6726451696000828,2.0023261816970988,1,1,1
1,0.8801955653665084,3.635080454899496,0,-9999,1
0,-0.4040187139148992,-1.8397737546344584,1,1,1
1,0.8673473276898677,1.4974692000816263,1,1,1
1,0.029821432927807305,1.2145453099477903,0,-9999,1
1,-0.987047824354181,0.87044735268528,1,0,1
1,0.4166791566227679,3.1156182330092994,0,-9999,1
1,0.39698783521915626,2.597073812761148,0,-9999,1
1,0.39387182605209925,1.4373686763371685,0,-9999,1
0,-0.7646997539537572,-0.8767654881790987,1,0,1
0,0.3073625777849465,1.265811698175629,1,1,1
0,0.7381293262496522,-0.4433296846640087,1,1,1
1,-0.05768156236580451,2.0382107594858176,0,-9999,1
1,-0.785853613723605,0.07140259672601479,1,0,1
1,0.6683996312754851,1.0938549666088933,1,1,1
1,0.9640077098472811,2.4983966368937818,1,1,1
0,-0.7567180370768737,-2.3038876593832,1,1,1
1,0.6971116611655265,1.898062096128558,1,0,1
0,0.777284259368272,-0.02711861488517997,0,-9999,1
1,-1.5171222783282967,0.5334981616032177,1,0,1
1,1.179137901877468,1.1082275799376289,0,-9999,1
1,1.8624683470654937,1.9528764648500667,1,1,1
1,-1.0547833686353063,-0.23328714619761937,0,-9999,1
0,-0.21866991254063461,0.532156743408837,1,1,1
0,0.0057545700921926,0.12702023560540776,1,0,1
0,-0.06912592901955646,-0.8418402781418282,1,1,1
0,0.8815023650751088,-0.22142215460541936,0,-9999,1
1,-0.33618199350874944,0.4183866522243864,1,0,1
1,0.858136464459065,2.2359550635728933,1,0,1
1,0.8954095198818578,0.10244748416497629,1,1,1
1,-0.7010136971143095,0.5021099555365408,0,-9999,1
0,-0.17569241496249335,-2.753847858625483,1,1,1
0,-0.16559075979989954,-2.1649404562739942,1,1,1
0,1.1238266317618628,1.5654632424616723,0,-9999,1
0,-1.8178564414571148,-3.2720253697411934,1,0,1
0,0.7558012947236514,0.025380530158255477,1,0,1
0,1.3616790014431615,0.6642567288958874,0,-9999,1
0,0.11535971724526217,-1.26698363897945,1,0,1
0,-0.27230070449446964,-1.054031773569227,1,1,1
0,-1.0673942529664138,-1.9569766655727254,1,0,1
0,0.08127745509389188,-1.7323658348745887,1,0,1
0,0.5614255082385795,0.5297704708125506,1,1,1
0,1.2464274732319531,-0.7373535348490672,1,1,1
0,-1.3629438937281257,-1.5004649676734791,1,1,1
0,0.13343993084905437,-1.0533041477434824,1,0,1
0,-0.9928894194684985,-2.1643054088844966,1,1,1
0,0.28638624221477815,-0.9346326099811223,1,1,1
0,0.9850075206259393,-0.958909038334489,1,0,1
1,-0.6940422107299824,1.1388610941588189,0,-9999,1
1,-0.06402361405327953,1.15746216098276,1,1,1
0,0.5365679453551062,-1.9631244503301224,1,1,1
0,0.5223770541969344,-1.2335821161734253,1,0,1
0,-0.4007614487508864,-1.9719607797452516,1,1,1
0,-0.5507326841422234,-1.0097634332837913,1,1,1
0,-1.8500502742619593,-3.455895197463594,1,0,1
1,-0.4242949812676025,-0.3684277913425751,1,0,1
0,0.6872757274244282,0.38097892570310976,1,1,1
1,-0.2576580347189097,0.3888673914818308,1,0,1
0,1.3825407504172895,-1.158782758209224,1,1,1
0,0.7367693921623525,0.6908825738239863,1,1,1
1,-0.5357131787587114,3.307078667971878,0,-9999,1
1,0.9293988847178436,2.5036866227234924,0,-9999,1
1,0.33629695891947015,0.9928400640198043,1,1,1
1,-1.4404943940530277,-0.8810751077928183,1,0,1
1,-1.1353454752363696,-0.5140598367750393,1,0,1
1,0.6542215823540859,2.3125150816602993,0,-9999,1
0,-1.9342484942157154,-2.8983001812440614,1,0,1
1,-1.7911645420809619,-0.8603693276544617,1,0,1
1,-0.9626425227243685,-0.7449894956373062,1,1,1
1,-0.8395217432562307,-0.12983883302243404,0,-9999,1
0,0.021167982437952145,-1.0120208235079924,1,1,1
1,-0.6307473955593244,-0.40105517964481363,1,1,1
1,-1.149375879927992,0.10322249137114281,1,0,1
1,0.6701146979657366,1.4125508922158292,1,0,1
0,-0.38513910350594144,-1.528243115399564,1,0,1
0,-0.05199347331192976,-0.2761547067563666,0,-9999,1
1,0.4874320538054487,1.286862533510476,1,0,1
1,0.4824195252288417,0.4108289125386282,1,1,1
1,-0.288154734940717,-0.6875054300095667,1,0,1
0,-0.52412305181414,-0.026300114000490815,0,-9999,1
1,-0.06661027833851914,0.46174476945786247,1,0,1
1,-1.6751017430849502,-0.36177035248835065,1,0,1
1,-0.09551356840283867,-0.32719389689772727,1,1,1
0,-0.7305273457783821,-3.430920019562798,1,1,1
0,0.7126441432934801,-0.34540344437881754,1,1,1
0,0.13483363701443482,-1.2049441191908998,1,1,1
1,-0.7436177421269424,2.7072286011384175,1,1,1
0,-0.6748167560203192,-2.037283467410607,1,0,1
1,0.4272632570343614,2.352535680902072,0,-9999,1
0,-0.48181516977489103,-1.4045151840938015,1,1,1
1,1.3704922570447309,1.8416971609053103,0,-9999,1
1,0.29630548195240064,2.0857681489331297,0,-9999,1
0,0.039141652039716125,2.511272213605994,1,0,1
0,1.3354125591007548,0.5793212950090175,1,1,1
1,0.04564884293746009,1.1315165525726816,1,1,1
1,0.003111487305153025,1.4316681995177631,1,0,1
0,1.8448030149564827,-0.37399458299479194,1,1,1
0,-0.2326044250713751,-1.6519424419374802,1,1,1
1,-0.41568759165561064,2.2854975945190965,0,-9999,1
1,1.6010889305904012,3.644106301873441,0,-9999,1
0,-0.22846197322995748,1.4141507533840405,1,0,1
1,-1.5100858163592568,-1.1892475398789433,1,0,1
0,-1.8155933889615834,-2.0804654416486508,1,0,1
0,0.48419329834353414,1.1076966325338349,1,1,1
0,1.4049750110863672,0.33915270987001445,1,1,1
0,1.7436439929977532,0.49075546073752774,0,-9999,1
0,0.7648114742659073,-1.395792838701226,0,-9999,1
1,-1.4897349084033409,-0.7540572777803758,1,0,1
1,0.9823599271387354,2.730606475869453,0,-9999,1
0,-0.16201921605172656,-1.2701977037673418,1,1,1
0,1.4036877807672177,-1.077447219020633,1,1,1
1,-0.05629635011490972,1.1961952335905361,1,0,1
1,-0.1159364647262565,1.1715872727595076,1,0,1
1,-0.39931007134167235,0.8811355608550329,1,0,1
0,-0.5863060788552639,-1.469652965903264,1,0,1
1,0.6219061799235882,2.10689227962094,0,-9999,1
0,-0.4322002554446904,-0.5372550735050394,1,0,1
0,-0.6753090712027797,-1.760827375003002,1,0,1
0,0.9712027788645938,-0.047359130382832015,0,-9999,1
1,-0.5331856295341865,1.5824883532591005,1,0,1
1,0.4679262297371565,2.36428508149908,0,-9999,1
1,0.12817458544186427,2.3310147257684917,1,0,1
1,-0.04753758945730209,1.1796405621563528,1,1,1
1,-0.14283396110551408,1.141644365776111,1,0,1
0,-1.395182853312907,-2.547879606883974,1,1,1
1,-0.6528858902965827,-1.1261939119544842,1,1,1
1,-2.325881351690021,-1.6929696755668173,0,-9999,1
0,1.4364992455551464,1.3385072716240995,0,-9999,1
1,1.4589891084452302,4.067178752799306,0,-9999,1
0,-0.21324968773349806,-0.029626731201265355,1,0,1
0,0.5344452991245208,-0.7620190372628639,1,1,1
1,-0.21565047511521324,1.654633343978892,0,-9999,1
1,-0.4074314728727867,0.8343044011725679,1,1,1
0,0.08775394626702773,-0.3747448865791938,0,-9999,1
1,-1.3273251046457741,-1.3110593015613337,1,0,1
0,-0.5633882445312713,-2.6649776363741497,1,1,1
0,0.07852419790509049,-1.0303062275132173,1,1,1
0,-1.082203856885275,-2.0695077379264424,1,0,1
0,-0.16405196014423148,-1.8113541754571054,1,1,1
1,1.2311112744098645,1.9432506212218241,0,-9999,1
0,0.629766803941412,-1.1802362310220462,1,1,1
0,-0.9769486893702319,-2.058249476976653,1,1,1
0,1.2505262671778492,1.5146003441342515,1,1,1
1,-0.8674665018100539,0.41366937418698857,1,1,1
0,-0.2678479444184755,-2.2753055851226716,1,1,1
0,1.3999687629810653,-0.72039724643765,1,1,1
0,0.28052263059240357,-2.7712074342762514,1,1,1
0,0.9540386993499336,-0.8828611375001717,1,1,1
1,1.169791630087674,2.029896415855381,0,-9999,1
0,-1.2622983230326348,-3.159269064341824,1,0,1
0,1.2441640846978066,-1.0861689068375693,1,0,1
0,-0.10381469738963826,-1.051823728264075,1,1,1
1,0.2240407677987198,2.534638255230225,1,0,1
1,-0.0819647429462407,0.6382131234510895,1,0,1
0,0.5874414668770481,0.042816697305804285,1,1,1
0,0.42363144856693,-0.9871583243989882,1,1,1
1,-0.43798304449462444,1.9661538019660627,1,0,1
0,-1.7018481264521672,-3.337739443272853,1,0,1
0,-0.6675364985409877,-2.064554794068834,1,0,1
0,0.7745075520841679,-1.0357127712046053,1,1,1
0,1.4112439750862547,1.2291954649629648,0,-9999,1
0,0.407372443796373,-3.0373884031091727,1,0,1
0,0.6478846302813953,-0.3809721831641698,1,1,1
0,-0.7543852112256382,-3.2888743603041366,1,0,1
1,0.08148018013135343,1.2201706271356954,1,0,1
1,-0.3197671626397226,1.7300777512851482,0,-9999,1
0,1.5797167999116357,1.7981519168725142,0,-9999,1
1,0.5477077746364869,0.011712741943350924,1,1,1
0,-0.08910321355423476,-0.5360330016330472,1,0,1
1,-0.9310902241330199,-0.5332007192186294,1,0,1
1,-0.24496455046086596,0.6562955543295523,1,0,1
1,-0.6505043833664861,-1.5415473720323247,1,0,1
1,0.3190315408562457,1.2716732412711276,1,1,1
0,-1.1034379305687823,-1.2751915400505491,1,0,1
0,-2.8928924146927355,-4.39340949487477,1,0,1
1,1.5020805443126628,2.9979931790333705,1,1,1
1,0.7609087804903978,1.8006883619543572,1,1,1
1,-0.1284448379751815,1.2359051768990739,1,0,1
1,0.896016112662567,0.4824672468271318,1,0,1
0,-0.6180472251138147,-2.8282678790166766,1,1,1
1,-2.303170689710442,-1.5877809269296717,1,0,1
1,0.8025258894397294,2.39998833631501,1,0,1
0,-0.3438235623773603,-0.72934314842742,1,0,1
1,0.4638531829755376,2.30732424670424,1,0,1
1,1.376363365839473,3.2446231356173634,0,-9999,1
1,1.492594491387847,1.2525007119158902,0,-9999,1
0,0.4777714914835404,-0.03625973159556378,1,0,1
1,1.5294236292332648,3.6010188210152316,1,1,1
1,-0.02520762701053545,0.53784608694791,1,0,1
1,-1.316811993816796,0.9304372676516881,1,1,1
0,-1.2455999768250257,-3.5458078982951005,1,0,1
1,0.5927863427963609,1.7384491959582609,1,0,1
1,-0.5763074284720971,-2.361932379660243,1,1,1
0,0.6617425192460482,-1.0943107204899878,1,1,1
0,0.35810946930984244,-1.0260432293031108,1,0,1
1,-0.9901177920087548,0.407228151624075,1,0,1
0,-2.4879050906299547,-2.8627235823323423,1,0,1
0,0.10356597008070202,-0.4686526531282268,1,1,1
1,-1.756823847153403,0.054327861892557894,1,0,1
0,-1.2055997422146538,-2.0344481850473803,1,0,1
0,0.05871865222733778,-1.534765366944193,1,1,1
0,-0.8248570753762511,-2.45638101365049,1,1,1
0,0.03629892823236574,-0.18520336322024117,1,0,1
0,-0.008574698522977419,-0.476682974013224,1,1,1
1,-0.07794658509272454,0.9058936195736564,0,-9999,1
1,-1.045809775349334,0.23039862274043266,1,0,1
1,0.5936102575281287,2.008268316889846,1,0,1
1,0.5820280528263454,-1.1062396172798756,1,1,1
1,-0.23074518808354766,-0.948850471781074,1,1,1
1,-0.377119117321816,1.5082140168641396,0,-9999,1
0,-1.5314088954625535,-1.0931541921269512,1,0,1
1,-0.8645107979469336,1.9059183981539085,0,-9999,1
0,1.4304098177543987,-0.5734318927252795,1,0,1
1,-0.2523905652411445,0.10834895211268658,1,0,1
0,0.7813047756843555,-2.0339228671828526,1,0,1
1,-1.027595717028269,0.45809666253910386,1,0,1
0,0.7800446827343562,0.17044010689615796,1,0,1
1,-0.6154290626496439,0.49518650449443724,1,0,1
1,-0.5978233035035687,1.1400710384118993,1,1,1
0,1.2457507879296292,1.6416984142977347,0,-9999,1
0,0.2679969183265043,0.1786243403825103,1,1,1
0,0.035858392268701876,0.7792031015603509,1,1,1
0,-0.07607791310835288,-0.6846050826562037,1,0,1
1,-0.6359101061133255,1.1005799408194579,1,0,1
0,1.1225731705352173,-0.4698652658016693,1,1,1
1,1.4070592294712643,1.840430833603927,1,1,1
1,-0.6067072286447804,0.2082019929988841,1,1,1
0,-0.6290073626811895,-2.1409287655936824,1,1,1
1,0.07438699843519181,1.4445567319475767,1,0,1
1,1.4910792494927043,3.5513741976154707,0,-9999,1
1,-0.31765938640859,1.0166363325301593,1,0,1
1,-0.8542410227043046,0.9379571340501914,1,1,1
1,-0.5758697690873277,-0.5445209068290944,1,0,1
1,-0.603869493601598,0.5761402851239072,0,-9999,1
1,1.1002586306855033,1.4640242306181581,1,0,1
1,-0.44533817902639466,1.1300674705739169,1,0,1
0,-2.0128601363458696,-4.247545735702184,1,0,1
0,-0.8539057273595981,-1.813060569099302,1,1,1
0,-0.7457506771075787,-1.5636846127589843,1,0,1
1,0.555188651111601,1.8980114417595861,1,1,1
0,-1.0364776978971617,-1.9311891544612323,1,0,1
0,-0.865482641870946,-1.972461969917961,1,0,1
0,1.2146308375922497,-1.357963801038282,1,1,1
1,-0.572042552091305,0.6007584861581314,1,0,1
1,0.33726919408479916,0.5529047328071375,1,0,1
1,-0.8170121429544984,-0.4016569860978041,1,0,1
0,-0.323200858039603,-0.6251511102165757,1,1,1
1,-1.4738838749849392,0.7341336645436041,0,-9999,1
1,-2.3579674205064127,-2.40151885787772,1,0,1
1,-0.6049182566770485,1.2049955238841483,1,0,1
1,-0.13343300391716753,-0.4449319762247357,1,1,1
1,0.4829520537812338,0.2492717733668126,1,0,1
0,-0.3449638596599569,-0.745348960254238,1,0,1
0,-1.4502060877082554,-2.077704316930147,1,0,1
1,0.29827417564198966,0.24137015248787863,0,-9999,1
0,0.18377461312630547,-1.0895143720417937,1,1,1
1,-0.7736168545425307,-1.3764701274780995,1,1,1
1,1.0602540414476556,1.3139537612445076,1,1,1
0,-0.9465563150570369,-2.848095357492311,1,0,1
1,-1.2991853670731557,-1.7231221587635963,0,-9999,1
0,-1.5514365755486053,-2.0667711606900134,1,1,1
0,-0.870037716773947,-1.9015848386897867,1,0,1
0,0.8977647726309969,-0.4883399224892254,1,1,1
0,1.2948174123438148,1.5988731384756498,1,1,1
0,1.7996382696894222,1.0091988534940322,1,1,1
0,-0.6124185427290463,0.5132546926428285,1,0,1
1,-1.1976123656191557,0.4426191077365723,1,0,1
0,0.8231235412975787,-0.9153957103624789,1,1,1
0,0.5541467754641659,-0.6594034644650194,1,1,1
1,2.581827643534544,2.3405591557564884,1,0,1
1,0.42446383486244194,1.9247840200207675,1,1,1
1,0.03174268128714536,-1.3528225934426503,1,0,1
1,-3.1778271314996607,-3.4315051066517746,1,0,1
0,1.2616955219197619,0.4164288079743931,1,0,1
0,-0.5413143839081197,-1.6826710134476377,1,0,1
1,1.2460089534254397,0.41149290774767344,1,1,1
1,0.2888189183674843,1.614693886664118,0,-9999,1
1,-0.33317246524600974,-0.1387687909401718,1,0,1
0,1.3144836200761123,0.8301727261075103,1,1,1
1,-0.6174745679300243,0.34012350452951035,0,-9999,1
1,-0.2835519581019683,1.7367076078788877,0,-9999,1
1,-0.032904040851374015,1.1617095368943597,1,0,1
1,0.313751754347411,1.388212871670619,0,-9999,1
1,-0.38730993756577586,-0.023762447879406068,1,1,1
1,-2.1333580581107845,-2.8291011536428643,1,0,1
0,-1.0209553499925021,-1.115312549259143,1,0,1
1,-1.3422075443597072,-1.3107435812559658,0,-9999,1
0,-0.7206395601329026,-2.1677725620273103,1,0,1
0,-0.4585622273467856,-1.3017406747419409,1,0,1
1,0.009702283349777546,0.4406377906560597,1,1,1
0,-1.1218536711508873,-1.9907592573739779,1,1,1
